,M1,M2,M3,M4,DR1,DR2,DR3,DR4,Makespan1,Makespan2
0,34.66,77.37,59.4,85.0,spt,srpt,stpt,spt,1246.28,1532.8
1,86.86,28.9,92.56,39.32,,,,,,
2,41.27,23.24,97.91,52.49,,,,,,
3,75.5,97.24,85.91,93.35,,,,,,
4,86.76,24.64,43.85,62.86,,,,,,
5,49.49,21.31,40.02,88.67,,,,,,
6,68.07,95.01,53.82,87.83,,,,,,
7,77.31,39.71,59.4,34.03,,,,,,
8,69.7,83.12,12.84,4.47,,,,,,
9,78.61,15.85,42.1,98.44,,,,,,
10,90.24,75.96,90.94,51.61,,,,,,
11,11.79,91.93,99.45,80.15,,,,,,
12,43.36,3.4,62.58,73.08,,,,,,
13,57.45,84.14,72.38,69.54,,,,,,
14,78.5,76.61,12.67,20.65,,,,,,
15,78.2,17.85,84.27,91.82,,,,,,
